raw_problem_id,source_doc_title,paper,question_number,source_pdf_page_number,answer_format,has_visual_context,topic_id,skill_id,archetype_id,difficulty_estimate,requires_visual_component,visual_component_type,needs_archetype_review
epp_latymer_practice1_math_q30,The Latymer School Practice Test 1,Mathematics,30,22,multiple_choice,True,data_statistics,stat_median_mode_range,median_list,2,False,,no
epp_grammar_pack1_paper1_q01,"11+ Mathematics, Grammar Schools, Pack 1",Paper 1,1,3,free_response,False,arithmetic,ar_divide_equal_groups,division_equal_groups,1,False,,no
epp_grammar_pack1_paper1_q02,"11+ Mathematics, Grammar Schools, Pack 1",Paper 1,2,3,multiple_choice,False,measurement_units,meas_unit_selection,plausible_measure_unit,1,False,,no
epp_grammar_pack1_paper1_q03,"11+ Mathematics, Grammar Schools, Pack 1",Paper 1,3,3,multiple_choice,False,number_place_value,np_digit_place_value,digit_place_value_whole_decimal,1,False,,no
epp_grammar_pack1_paper1_q04,"11+ Mathematics, Grammar Schools, Pack 1",Paper 1,4,3,multiple_choice,True,geometry,geom_shape_names,shape_name_2d_3d,1,True,shape_diagram,no
epp_grammar_pack1_paper1_q05,"11+ Mathematics, Grammar Schools, Pack 1",Paper 1,5,3,free_response,False,ratio_proportion_rates,ratio_share,share_total_in_ratio,2,False,,no
epp_grammar_pack1_paper1_q06,"11+ Mathematics, Grammar Schools, Pack 1",Paper 1,6,4,multiple_choice,False,data_statistics,stat_mean,mean_find_total,1,False,,no
epp_grammar_pack1_paper1_q07,"11+ Mathematics, Grammar Schools, Pack 1",Paper 1,7,4,free_response,True,data_statistics,data_bar_charts,bar_chart_difference_total,2,True,bar_chart,no
epp_grammar_pack1_paper1_q08,"11+ Mathematics, Grammar Schools, Pack 1",Paper 1,8,4,multiple_choice,True,geometry,geom_line_symmetry_text,line_symmetry_letters_words,2,True,text_symmetry,no
epp_grammar_pack1_paper1_q09,"11+ Mathematics, Grammar Schools, Pack 1",Paper 1,9,4,multiple_choice,False,algebra,alg_substitution,substitute_expression_values,2,False,,no
epp_grammar_pack1_paper1_q10,"11+ Mathematics, Grammar Schools, Pack 1",Paper 1,10,5,multiple_choice,True,geometry,geom_area_basic,area_from_area_and_dimension,3,False,,no
epp_grammar_pack1_paper1_q11,"11+ Mathematics, Grammar Schools, Pack 1",Paper 1,11,5,multiple_choice,False,fractions,frac_unit_fractions,unit_fractions_in_whole,1,False,,no
epp_grammar_pack1_paper1_q12,"11+ Mathematics, Grammar Schools, Pack 1",Paper 1,12,5,free_response,True,arithmetic,ar_divide_equal_groups,division_equal_groups,1,False,,no
epp_grammar_pack1_paper1_q13,"11+ Mathematics, Grammar Schools, Pack 1",Paper 1,13,5,multiple_choice,False,number_place_value,np_rounding,round_decimal_places,1,False,,no
epp_grammar_pack1_paper1_q14,"11+ Mathematics, Grammar Schools, Pack 1",Paper 1,14,5,multiple_choice,False,measurement_units,meas_time_duration,time_duration_start_end,2,False,,no
epp_grammar_pack1_paper1_q15,"11+ Mathematics, Grammar Schools, Pack 1",Paper 1,15,6,free_response,False,arithmetic,ar_divide_round_up,division_groups_round_up,2,False,,no
epp_grammar_pack1_paper1_q16,"11+ Mathematics, Grammar Schools, Pack 1",Paper 1,16,6,multiple_choice,True,geometry,geom_3d_shape_properties,shape_edges_faces_vertices,2,True,3d_shape,no
epp_grammar_pack1_paper1_q17,"11+ Mathematics, Grammar Schools, Pack 1",Paper 1,17,6,multiple_choice,False,fractions,frac_reverse_remainder,fraction_remainder_complement,2,False,,no
epp_grammar_pack1_paper1_q18,"11+ Mathematics, Grammar Schools, Pack 1",Paper 1,18,6,free_response,True,data_statistics,data_tables,table_lookup_difference,2,True,table,no
epp_grammar_pack1_paper1_q19,"11+ Mathematics, Grammar Schools, Pack 1",Paper 1,19,7,multiple_choice,False,factors_multiples_powers,nm_factors_multiples_basic,factor_multiple_basic,2,False,,no
epp_grammar_pack1_paper1_q20,"11+ Mathematics, Grammar Schools, Pack 1",Paper 1,20,7,multiple_choice,True,geometry,geom_rotational_symmetry,rotational_symmetry_shapes,2,True,shape_options,no
epp_grammar_pack1_paper1_q21,"11+ Mathematics, Grammar Schools, Pack 1",Paper 1,21,7,free_response,True,geometry,geom_perimeter_composite,perimeter_grid_composite,3,True,perimeter_shape,no
epp_grammar_pack1_paper1_q22,"11+ Mathematics, Grammar Schools, Pack 1",Paper 1,22,7,free_response,False,measurement_units,meas_money_offers_packages,shopping_offer_bundle,3,False,,no
epp_grammar_pack1_paper1_q23,"11+ Mathematics, Grammar Schools, Pack 1",Paper 1,23,7,free_response,False,arithmetic,ar_multiplication_context,multiplication_integer_context,2,False,,no
epp_grammar_pack1_paper1_q24,"11+ Mathematics, Grammar Schools, Pack 1",Paper 1,24,8,multiple_choice,False,percentages,pct_reverse_percentage,reverse_percentage_original_price,3,False,,no
epp_grammar_pack1_paper1_q25,"11+ Mathematics, Grammar Schools, Pack 1",Paper 1,25,8,multiple_choice,True,data_statistics,stat_median_mode_range,mode_list,1,False,,no
epp_grammar_pack1_paper1_q26,"11+ Mathematics, Grammar Schools, Pack 1",Paper 1,26,8,free_response,False,algebra,alg_equations_formulas,solve_formula_variable,3,False,,no
epp_grammar_pack1_paper1_q27,"11+ Mathematics, Grammar Schools, Pack 1",Paper 1,27,8,multiple_choice,True,number_place_value,np_number_line,number_line_value_or_offset,2,True,number_line,no
epp_grammar_pack1_paper1_q28,"11+ Mathematics, Grammar Schools, Pack 1",Paper 1,28,9,free_response,True,geometry,geom_area_basic,area_rectangle_triangle_parallelogram,2,True,area_shape_optional,no
epp_grammar_pack1_paper1_q29,"11+ Mathematics, Grammar Schools, Pack 1",Paper 1,29,9,multiple_choice,False,probability_sets_logic,sets_venn_overlap,set_overlap_minimum,4,False,,no
epp_grammar_pack1_paper1_q30,"11+ Mathematics, Grammar Schools, Pack 1",Paper 1,30,9,free_response,False,number_place_value,np_rounding,round_nearest_unit_interval,3,False,,no
epp_grammar_pack1_paper1_q31,"11+ Mathematics, Grammar Schools, Pack 1",Paper 1,31,9,multiple_choice,False,arithmetic,ar_add_subtract_word,addition_subtraction_word_total_difference,1,False,,no
epp_grammar_pack1_paper1_q32,"11+ Mathematics, Grammar Schools, Pack 1",Paper 1,32,10,multiple_choice,False,number_place_value,np_compare_order_numbers,compare_decimals_smallest_largest,2,False,,no
epp_grammar_pack1_paper1_q33,"11+ Mathematics, Grammar Schools, Pack 1",Paper 1,33,10,multiple_choice,False,algebra,alg_substitution,substitute_expression_values,2,False,,no
epp_grammar_pack1_paper1_q34,"11+ Mathematics, Grammar Schools, Pack 1",Paper 1,34,10,multiple_choice,True,data_statistics,data_bar_charts,bar_chart_difference_total,2,True,bar_chart,no
epp_grammar_pack1_paper1_q35,"11+ Mathematics, Grammar Schools, Pack 1",Paper 1,35,10,free_response,True,geometry,geom_regular_polygon_angles,regular_polygon_angles,3,True,polygon_angle_diagram,no
epp_grammar_pack1_paper1_q36,"11+ Mathematics, Grammar Schools, Pack 1",Paper 1,36,10,free_response,False,sequences_patterns,seq_arithmetic_geometric,sequence_next_additive,2,False,,no
epp_grammar_pack1_paper1_q37,"11+ Mathematics, Grammar Schools, Pack 1",Paper 1,37,11,multiple_choice,True,data_statistics,data_bar_charts,bar_chart_difference_total,2,True,bar_chart,no
epp_grammar_pack1_paper1_q38,"11+ Mathematics, Grammar Schools, Pack 1",Paper 1,38,11,multiple_choice,True,geometry,geom_coordinates_read_plot,coordinates_read_points,1,True,coordinate_grid,no
epp_grammar_pack1_paper1_q39,"11+ Mathematics, Grammar Schools, Pack 1",Paper 1,39,11,multiple_choice,True,geometry,geom_line_symmetry_shapes,line_symmetry_shapes,2,True,shape_symmetry,no
epp_grammar_pack1_paper1_q40,"11+ Mathematics, Grammar Schools, Pack 1",Paper 1,40,12,multiple_choice,True,ratio_proportion_rates,prop_scale_maps,map_scale_real_distance,3,True,scale_diagram_optional,no
epp_grammar_pack1_paper1_q41,"11+ Mathematics, Grammar Schools, Pack 1",Paper 1,41,12,free_response,True,data_statistics,data_bar_charts,bar_chart_difference_total,2,True,bar_chart,no
epp_grammar_pack1_paper1_q42,"11+ Mathematics, Grammar Schools, Pack 1",Paper 1,42,12,free_response,True,geometry,geom_special_triangle_angles,isosceles_equilateral_angles,2,True,triangle_angle_diagram,no
epp_grammar_pack1_paper1_q43,"11+ Mathematics, Grammar Schools, Pack 1",Paper 1,43,12,multiple_choice,False,probability_sets_logic,logic_must_be_true,logic_quantifier_must_true,2,False,,no
epp_grammar_pack1_paper1_q44,"11+ Mathematics, Grammar Schools, Pack 1",Paper 1,44,13,free_response,True,geometry,geom_area_composite_visual,composite_area_visual,3,True,composite_area,no
epp_grammar_pack1_paper1_q45,"11+ Mathematics, Grammar Schools, Pack 1",Paper 1,45,13,multiple_choice,False,arithmetic,ar_multi_step_numeric,multi_step_arithmetic_expression,3,False,,no
epp_grammar_pack1_paper1_q46,"11+ Mathematics, Grammar Schools, Pack 1",Paper 1,46,13,free_response,True,geometry,geom_3d_shape_properties,shape_edges_faces_vertices,2,True,3d_shape,no
epp_grammar_pack1_paper1_q47,"11+ Mathematics, Grammar Schools, Pack 1",Paper 1,47,14,free_response,False,data_statistics,stat_median_mode_range,range_measurements,2,False,,no
epp_grammar_pack1_paper1_q48,"11+ Mathematics, Grammar Schools, Pack 1",Paper 1,48,14,multiple_choice,True,geometry,geom_area_scaling,area_scaling_length_changes,3,True,shape_optional,no
epp_grammar_pack1_paper1_q49,"11+ Mathematics, Grammar Schools, Pack 1",Paper 1,49,14,free_response,True,geometry,geom_3d_shape_properties,shape_edges_faces_vertices,2,True,3d_shape,no
epp_grammar_pack1_paper1_q50,"11+ Mathematics, Grammar Schools, Pack 1",Paper 1,50,15,free_response,False,percentages,pct_discount_sale_price,percentage_discount_final_price,2,False,,no
epp_grammar_pack1_paper2_q01,"11+ Mathematics, Grammar Schools, Pack 1",Paper 2,1,17,multiple_choice,False,number_place_value,np_words_to_digits,number_words_to_digits_large,1,False,,no
epp_grammar_pack1_paper2_q02,"11+ Mathematics, Grammar Schools, Pack 1",Paper 2,2,17,multiple_choice,True,geometry,geom_line_symmetry_text,line_symmetry_letters_words,2,True,text_symmetry,no
epp_grammar_pack1_paper2_q03,"11+ Mathematics, Grammar Schools, Pack 1",Paper 2,3,17,free_response,False,arithmetic,ar_divide_round_up,division_groups_round_up,2,False,,no
epp_grammar_pack1_paper2_q04,"11+ Mathematics, Grammar Schools, Pack 1",Paper 2,4,17,free_response,True,geometry,geom_volume,volume_cube_cuboid,2,True,3d_shape_optional,no
epp_grammar_pack1_paper2_q05,"11+ Mathematics, Grammar Schools, Pack 1",Paper 2,5,18,multiple_choice,True,data_statistics,data_tables,percentage_table_counts,3,True,table,no
epp_grammar_pack1_paper2_q06,"11+ Mathematics, Grammar Schools, Pack 1",Paper 2,6,18,free_response,True,ratio_proportion_rates,prop_scale_maps,scale_area,4,True,scale_area_diagram,no
epp_grammar_pack1_paper2_q07,"11+ Mathematics, Grammar Schools, Pack 1",Paper 2,7,18,multiple_choice,False,measurement_units,meas_time_duration,time_duration_start_end,2,False,,no
epp_grammar_pack1_paper2_q08,"11+ Mathematics, Grammar Schools, Pack 1",Paper 2,8,19,multiple_choice,False,algebra,alg_substitution,substitute_expression_values,2,False,,no
epp_grammar_pack1_paper2_q09,"11+ Mathematics, Grammar Schools, Pack 1",Paper 2,9,19,multiple_choice,True,fractions,frac_compare_equivalence,equivalent_fraction_missing_denominator,3,False,,no
epp_grammar_pack1_paper2_q10,"11+ Mathematics, Grammar Schools, Pack 1",Paper 2,10,19,free_response,True,geometry,geom_area_basic,area_rectangle_triangle_parallelogram,2,True,area_shape_optional,no
epp_grammar_pack1_paper2_q11,"11+ Mathematics, Grammar Schools, Pack 1",Paper 2,11,20,multiple_choice,False,measurement_units,meas_capacity_rate,drain_fill_rate_time,3,False,,no
epp_grammar_pack1_paper2_q12,"11+ Mathematics, Grammar Schools, Pack 1",Paper 2,12,20,free_response,True,measurement_units,meas_money_offers_packages,pack_purchase_least_cost,4,True,price_table,no
epp_grammar_pack1_paper2_q13,"11+ Mathematics, Grammar Schools, Pack 1",Paper 2,13,20,multiple_choice,False,data_statistics,stat_mean,mean_find_missing,3,False,,no
epp_grammar_pack1_paper2_q14,"11+ Mathematics, Grammar Schools, Pack 1",Paper 2,14,21,multiple_choice,False,measurement_units,meas_capacity_rate,drain_fill_rate_time,3,False,,no
epp_grammar_pack1_paper2_q15,"11+ Mathematics, Grammar Schools, Pack 1",Paper 2,15,21,free_response,True,geometry,geom_angle_facts,triangle_angle_sum,2,True,triangle_angle_diagram,no
epp_grammar_pack1_paper2_q16,"11+ Mathematics, Grammar Schools, Pack 1",Paper 2,16,21,multiple_choice,False,probability_sets_logic,logic_must_be_true,logic_quantifier_must_true,2,False,,no
epp_grammar_pack1_paper2_q17,"11+ Mathematics, Grammar Schools, Pack 1",Paper 2,17,21,multiple_choice,False,geometry,geom_line_symmetry_text,line_symmetry_letters_words,2,True,text_symmetry,no
epp_grammar_pack1_paper2_q18,"11+ Mathematics, Grammar Schools, Pack 1",Paper 2,18,22,free_response,False,factors_multiples_powers,nm_multiples_in_range,multiples_in_range,2,False,,no
epp_grammar_pack1_paper2_q19,"11+ Mathematics, Grammar Schools, Pack 1",Paper 2,19,22,multiple_choice,False,ratio_proportion_rates,prop_recipe_scaling,recipe_direct_scaling,2,False,,no
epp_grammar_pack1_paper2_q20,"11+ Mathematics, Grammar Schools, Pack 1",Paper 2,20,22,free_response,False,mixed_problem_solving,mixed_multistep,multi_step_balanced_groups,3,False,,no
epp_grammar_pack1_paper2_q21,"11+ Mathematics, Grammar Schools, Pack 1",Paper 2,21,23,multiple_choice,False,sequences_patterns,seq_recurrence,sequence_recurrence_rule,3,False,,no
epp_grammar_pack1_paper2_q22,"11+ Mathematics, Grammar Schools, Pack 1",Paper 2,22,23,free_response,True,geometry,geom_surface_area,surface_area_cuboid_prism,3,True,3d_shape,no
epp_grammar_pack1_paper2_q23,"11+ Mathematics, Grammar Schools, Pack 1",Paper 2,23,23,multiple_choice,False,ratio_proportion_rates,prop_inverse_workers,inverse_workers_time,3,False,,no
epp_grammar_pack1_paper2_q24,"11+ Mathematics, Grammar Schools, Pack 1",Paper 2,24,23,free_response,False,factors_multiples_powers,nm_divisibility_tests,divisibility_tests,2,False,,no
epp_grammar_pack1_paper2_q25,"11+ Mathematics, Grammar Schools, Pack 1",Paper 2,25,24,multiple_choice,True,geometry,geom_special_triangle_angles,isosceles_equilateral_angles,2,True,triangle_angle_diagram,no
epp_grammar_pack1_paper2_q26,"11+ Mathematics, Grammar Schools, Pack 1",Paper 2,26,24,multiple_choice,True,geometry,geom_coordinates_read_plot,coordinates_read_points,1,True,coordinate_grid,no
epp_grammar_pack1_paper2_q27,"11+ Mathematics, Grammar Schools, Pack 1",Paper 2,27,25,multiple_choice,True,factors_multiples_powers,nm_square_cube_numbers,square_cube_number_recognition,2,False,,no
epp_grammar_pack1_paper2_q28,"11+ Mathematics, Grammar Schools, Pack 1",Paper 2,28,25,multiple_choice,False,percentages,pct_percent_of_amount,percentage_of_quantity_units,3,False,,no
epp_grammar_pack1_paper2_q29,"11+ Mathematics, Grammar Schools, Pack 1",Paper 2,29,25,multiple_choice,True,geometry,geom_angle_types,angle_type_identification,1,True,angle_diagram_optional,no
epp_grammar_pack1_paper2_q30,"11+ Mathematics, Grammar Schools, Pack 1",Paper 2,30,25,free_response,True,data_statistics,stat_median_mode_range,median_list,2,False,,no
epp_grammar_pack1_paper2_q31,"11+ Mathematics, Grammar Schools, Pack 1",Paper 2,31,25,multiple_choice,True,probability_sets_logic,logic_must_be_true,logic_quantifier_must_true,2,False,,no
epp_grammar_pack1_paper2_q32,"11+ Mathematics, Grammar Schools, Pack 1",Paper 2,32,26,multiple_choice,False,probability_sets_logic,prob_basic,probability_simple_count,1,False,,no
epp_grammar_pack1_paper2_q33,"11+ Mathematics, Grammar Schools, Pack 1",Paper 2,33,26,multiple_choice,True,data_statistics,data_pie_charts,pie_chart_percent_count,2,True,pie_chart,no
epp_grammar_pack1_paper2_q34,"11+ Mathematics, Grammar Schools, Pack 1",Paper 2,34,26,multiple_choice,True,data_statistics,data_pictograms,pictogram_key_count,2,True,pictogram,no
epp_grammar_pack1_paper2_q35,"11+ Mathematics, Grammar Schools, Pack 1",Paper 2,35,26,multiple_choice,False,measurement_units,meas_unit_conversion,metric_conversion_length_capacity_mass,2,False,,no
epp_grammar_pack1_paper2_q36,"11+ Mathematics, Grammar Schools, Pack 1",Paper 2,36,27,multiple_choice,False,ratio_proportion_rates,ratio_equivalence,ratio_equivalent_form,2,False,,no
epp_grammar_pack1_paper2_q37,"11+ Mathematics, Grammar Schools, Pack 1",Paper 2,37,27,multiple_choice,False,probability_sets_logic,sets_venn_overlap,common_factors_sets,2,False,,no
epp_grammar_pack1_paper2_q38,"11+ Mathematics, Grammar Schools, Pack 1",Paper 2,38,27,free_response,False,ratio_proportion_rates,prop_unit_rate,direct_rate_scaling,2,False,,no
epp_grammar_pack1_paper2_q39,"11+ Mathematics, Grammar Schools, Pack 1",Paper 2,39,27,free_response,True,geometry,geom_area_composite_visual,composite_area_visual,3,True,composite_area,no
epp_grammar_pack1_paper2_q40,"11+ Mathematics, Grammar Schools, Pack 1",Paper 2,40,28,multiple_choice,False,probability_sets_logic,sets_venn_overlap,set_overlap_minimum,4,False,,no
epp_grammar_pack1_paper2_q41,"11+ Mathematics, Grammar Schools, Pack 1",Paper 2,41,28,free_response,True,geometry,geom_angle_facts,angles_on_line_around_point,2,True,angle_diagram,no
epp_grammar_pack1_paper2_q42,"11+ Mathematics, Grammar Schools, Pack 1",Paper 2,42,28,multiple_choice,False,arithmetic,ar_add_subtract_word,addition_subtraction_word_total_difference,1,False,,no
epp_grammar_pack1_paper2_q43,"11+ Mathematics, Grammar Schools, Pack 1",Paper 2,43,28,multiple_choice,False,measurement_units,meas_time_duration,time_duration_start_end,2,False,,no
epp_grammar_pack1_paper2_q44,"11+ Mathematics, Grammar Schools, Pack 1",Paper 2,44,29,free_response,True,data_statistics,data_tables,table_lookup_difference,2,True,table,no
epp_grammar_pack1_paper2_q45,"11+ Mathematics, Grammar Schools, Pack 1",Paper 2,45,29,free_response,True,geometry,geom_special_triangle_angles,isosceles_equilateral_angles,2,True,triangle_angle_diagram,no
epp_grammar_pack1_paper2_q46,"11+ Mathematics, Grammar Schools, Pack 1",Paper 2,46,29,multiple_choice,False,arithmetic,ar_multi_step_numeric,multi_step_arithmetic_expression,3,False,,no
epp_grammar_pack1_paper2_q47,"11+ Mathematics, Grammar Schools, Pack 1",Paper 2,47,30,free_response,False,arithmetic,ar_multi_step_numeric,multi_step_arithmetic_expression,3,False,,no
epp_grammar_pack1_paper2_q48,"11+ Mathematics, Grammar Schools, Pack 1",Paper 2,48,30,multiple_choice,True,geometry,geom_area_basic,area_from_area_and_dimension,3,False,,no
epp_grammar_pack1_paper2_q49,"11+ Mathematics, Grammar Schools, Pack 1",Paper 2,49,30,free_response,True,geometry,geom_area_basic,area_rectangle_triangle_parallelogram,2,True,area_shape_optional,no
epp_grammar_pack1_paper2_q50,"11+ Mathematics, Grammar Schools, Pack 1",Paper 2,50,31,free_response,True,algebra,alg_substitution,substitute_expression_values,2,False,,no
epp_grammar_pack1_paper3_q01,"11+ Mathematics, Grammar Schools, Pack 1",Paper 3,1,33,multiple_choice,False,algebra,alg_substitution,substitute_expression_values,2,False,,no
epp_grammar_pack1_paper3_q02,"11+ Mathematics, Grammar Schools, Pack 1",Paper 3,2,33,multiple_choice,False,algebra,alg_substitution,substitute_expression_values,2,False,,no
epp_grammar_pack1_paper3_q03,"11+ Mathematics, Grammar Schools, Pack 1",Paper 3,3,33,multiple_choice,False,arithmetic,ar_divide_equal_groups,division_equal_groups,1,False,,no
epp_grammar_pack1_paper3_q04,"11+ Mathematics, Grammar Schools, Pack 1",Paper 3,4,33,multiple_choice,True,geometry,geom_special_triangle_angles,isosceles_equilateral_angles,2,True,triangle_angle_diagram,no
epp_grammar_pack1_paper3_q05,"11+ Mathematics, Grammar Schools, Pack 1",Paper 3,5,34,multiple_choice,True,geometry,geom_tiling_count,tiling_count_area,3,True,tiling_diagram_optional,no
epp_grammar_pack1_paper3_q06,"11+ Mathematics, Grammar Schools, Pack 1",Paper 3,6,34,free_response,True,data_statistics,data_bar_charts,bar_chart_difference_total,2,True,bar_chart,no
epp_grammar_pack1_paper3_q07,"11+ Mathematics, Grammar Schools, Pack 1",Paper 3,7,35,multiple_choice,True,geometry,geom_3d_shape_properties,shape_edges_faces_vertices,2,True,3d_shape,no
epp_grammar_pack1_paper3_q08,"11+ Mathematics, Grammar Schools, Pack 1",Paper 3,8,35,multiple_choice,False,algebra,alg_substitution,substitute_expression_values,2,False,,no
epp_grammar_pack1_paper3_q09,"11+ Mathematics, Grammar Schools, Pack 1",Paper 3,9,35,multiple_choice,False,sequences_patterns,seq_arithmetic_geometric,sequence_next_additive,2,False,,no
epp_grammar_pack1_paper3_q10,"11+ Mathematics, Grammar Schools, Pack 1",Paper 3,10,35,multiple_choice,True,factors_multiples_powers,nm_factors_multiples_basic,factor_multiple_basic,2,False,,no
epp_grammar_pack1_paper3_q11,"11+ Mathematics, Grammar Schools, Pack 1",Paper 3,11,36,multiple_choice,False,arithmetic,ar_multi_step_numeric,multi_step_arithmetic_expression,3,False,,no
epp_grammar_pack1_paper3_q12,"11+ Mathematics, Grammar Schools, Pack 1",Paper 3,12,36,multiple_choice,True,measurement_units,meas_mass_weight,mass_total_convert,2,False,,no
epp_grammar_pack1_paper3_q13,"11+ Mathematics, Grammar Schools, Pack 1",Paper 3,13,36,free_response,True,geometry,geom_perimeter_composite,perimeter_grid_composite,3,True,perimeter_shape,no
epp_grammar_pack1_paper3_q14,"11+ Mathematics, Grammar Schools, Pack 1",Paper 3,14,37,multiple_choice,True,data_statistics,data_bar_charts,bar_chart_difference_total,2,True,bar_chart,no
epp_grammar_pack1_paper3_q15,"11+ Mathematics, Grammar Schools, Pack 1",Paper 3,15,37,free_response,True,geometry,geom_special_triangle_angles,isosceles_equilateral_angles,2,True,triangle_angle_diagram,no
epp_grammar_pack1_paper3_q16,"11+ Mathematics, Grammar Schools, Pack 1",Paper 3,16,38,multiple_choice,False,measurement_units,meas_money_coins,coins_value_count,2,False,,no
epp_grammar_pack1_paper3_q17,"11+ Mathematics, Grammar Schools, Pack 1",Paper 3,17,38,multiple_choice,True,geometry,geom_shape_names,shape_name_2d_3d,1,True,shape_diagram,no
